KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000866001,T000866002,T000866003,T000866004,T000866005,T000866006,T000866007,T000866008,T000866009,T000866010,T000866011,T000866012,T000866013
,,,,,,,総数,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業
12350900,2,石狩市,親船東一条,0,,,195,-,13,23,24,25,5,4,26,22,15,20,18
1235090001,3,石狩市,親船東一条１丁目,0,,,108,-,8,16,11,13,1,-,13,13,12,11,10
1235090002,3,石狩市,親船東一条２丁目,0,,,87,-,5,7,13,12,4,4,13,9,3,9,8
12350910,2,石狩市,親船東二条,0,,,180,4,11,23,19,20,4,5,22,20,13,32,7
1235091001,3,石狩市,親船東二条１丁目,0,,,73,-,2,9,4,13,1,3,8,8,10,13,2
1235091002,3,石狩市,親船東二条２丁目,0,,,107,4,9,14,15,7,3,2,14,12,3,19,5
12350920,2,石狩市,親船東三条,0,,,145,2,10,14,13,14,3,3,25,14,22,21,4
1235092001,3,石狩市,親船東三条１丁目,0,,,122,2,8,11,12,12,3,1,22,11,19,17,4
1235092002,3,石狩市,親船東三条２丁目,0,,,23,-,2,3,1,2,-,2,3,3,3,4,-
12350930,2,石狩市,親船町,0,,,158,7,6,20,15,22,2,12,27,6,11,24,6
12350940,2,石狩市,弁天町,0,,,14,-,4,1,1,1,-,2,-,1,-,3,1
12350950,2,石狩市,新町,0,,,6,1,1,1,-,1,-,1,-,-,-,1,-
12350960,2,石狩市,船場町,2,980,,X,X,X,X,X,X,X,X,X,X,X,X,X
12350970,2,石狩市,横町,0,,,41,1,2,9,3,1,2,3,5,2,4,6,3
12350980,2,石狩市,本町,1,,0960;0990,6,-,-,2,1,-,-,1,1,-,-,-,1
12350990,2,石狩市,仲町,2,980,,X,X,X,X,X,X,X,X,X,X,X,X,X
12351000,2,石狩市,浜町,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
12351010,2,石狩市,八幡,0,,,468,12,34,62,56,53,2,38,55,24,44,64,24
1235101001,3,石狩市,八幡１丁目,1,,1030,81,2,9,12,15,4,1,5,9,3,8,7,6
1235101002,3,石狩市,八幡２丁目,0,,,47,1,8,-,5,6,-,8,5,2,5,5,2
1235101003,3,石狩市,八幡３丁目,0,,,8,-,-,2,-,-,-,2,-,-,-,1,3
1235101004,3,石狩市,八幡４丁目,0,,,322,9,17,46,35,42,1,19,41,19,31,49,13
1235101005,3,石狩市,八幡５丁目,0,,,10,-,-,2,1,1,-,4,-,-,-,2,-
12351020,2,石狩市,緑ヶ原,0,,,227,1,8,18,19,32,3,13,34,26,26,35,12
1235102001,3,石狩市,緑ヶ原１丁目,0,,,149,1,5,11,15,25,2,11,19,13,12,26,9
1235102002,3,石狩市,緑ヶ原２丁目,0,,,78,-,3,7,4,7,1,2,15,13,14,9,3
12351030,2,石狩市,若生,2,101001,,X,X,X,X,X,X,X,X,X,X,X,X,X
12351040,2,石狩市,北生振,0,,,94,1,1,2,1,1,1,70,5,2,4,6,-
12351050,2,石狩市,美登位,0,,,30,-,-,1,2,-,-,26,-,-,1,-,-
12351060,2,石狩市,八幡町高岡,0,,,137,-,3,3,5,8,1,100,3,3,6,5,-
12351070,2,石狩市,八幡町五ノ沢,0,,,7,-,-,-,-,1,-,5,-,1,-,-,-
12351080,2,石狩市,生振,0,,,163,4,10,13,8,8,2,72,11,9,6,11,9
12351090,2,石狩市,海面,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
12351100,2,石狩市,樽川三条,0,,,431,8,37,50,42,38,4,16,61,39,30,53,53
1235110001,3,石狩市,樽川三条１丁目,0,,,135,1,6,23,19,15,1,3,16,13,7,11,20
1235110002,3,石狩市,樽川三条２丁目,0,,,133,2,8,10,10,9,2,3,23,13,13,21,19
1235110003,3,石狩市,樽川三条３丁目,0,,,163,5,23,17,13,14,1,10,22,13,10,21,14
12351110,2,石狩市,樽川四条,0,,,395,4,54,99,55,37,5,7,38,22,22,33,19
1235111001,3,石狩市,樽川四条１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235111002,3,石狩市,樽川四条２丁目,0,,,225,1,33,48,30,21,4,3,31,13,13,19,9
