KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000865001,T000865002,T000865003,T000865004,T000865005,T000865006,T000865007,T000865008,T000865009,T000865010,T000865011,T000865012,T000865013,T000865014,T000865015,T000865016,T000865017,T000865018,T000865019,T000865020,T000865021,T000865022,T000865023,T000865024,T000865025
,,,,,,,総数,Ａ　農業、林業,　うち農業,Ｂ　漁業,Ｃ　鉱業、採石業、砂利採取業,Ｄ　建設業,Ｅ　製造業,Ｆ　電気・ガス・熱供給・水道業,Ｇ　情報通信業,Ｈ　運輸業、郵便業,Ｉ　卸売業、小売業,Ｊ　金融業、保険業,Ｋ　不動産業、物品賃貸業,Ｌ　学術研究、専門・技術サービス業,Ｍ　宿泊業、飲食サービス業,Ｎ　生活関連サービス業、娯楽業,Ｏ　教育、学習支援業,Ｐ　医療、福祉,Ｑ　複合サービス事業,Ｒ　サービス業（他に分類されないもの）,Ｓ　公務（他に分類されるものを除く）,Ｔ　分類不能の産業,雇用者（役員を含む）,自営業主（家庭内職者を含む）,家族従業者
1101170008,3,札幌市中央区,円山西町８丁目,0,,,128,1,1,-,-,7,5,-,3,4,20,2,5,11,11,2,12,23,1,9,3,9,105,14,1
1101170009,3,札幌市中央区,円山西町９丁目,0,,,154,2,2,1,-,17,4,-,3,6,26,4,4,8,18,5,4,26,-,11,1,14,126,16,4
1101170010,3,札幌市中央区,円山西町１０丁目,0,,,69,-,-,-,-,2,3,-,5,-,8,4,2,14,-,1,2,16,-,4,6,2,61,6,2
11011800,2,札幌市中央区,中島公園,2,690903,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11011900,2,札幌市中央区,宮ケ丘,0,,,307,-,-,-,-,2,11,1,18,7,39,19,16,20,14,7,26,69,2,17,11,28,246,31,5
1101190001,3,札幌市中央区,宮ケ丘１丁目,0,,,122,-,-,-,-,1,7,-,6,4,16,5,9,6,6,3,8,26,-,6,4,15,88,19,2
1101190002,3,札幌市中央区,宮ケ丘２丁目,0,,,106,-,-,-,-,-,2,1,5,2,11,14,7,10,4,1,12,26,1,3,5,2,96,8,-
1101190003,3,札幌市中央区,宮ケ丘３丁目,0,,,79,-,-,-,-,1,2,-,7,1,12,-,-,4,4,3,6,17,1,8,2,11,62,4,3
11012000,2,札幌市中央区,大通東,0,,,1386,1,-,-,-,34,66,13,85,40,219,69,43,62,112,52,61,214,4,100,40,171,1152,77,12
1101200001,3,札幌市中央区,大通東１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101200002,3,札幌市中央区,大通東２丁目,0,,,110,-,-,-,-,3,2,1,6,1,22,7,9,5,3,1,9,24,-,5,4,8,93,7,1
1101200003,3,札幌市中央区,大通東３丁目,0,,,168,-,-,-,-,5,7,-,8,12,22,23,2,5,11,5,4,14,1,9,4,36,138,3,-
1101200004,3,札幌市中央区,大通東４丁目,0,,,166,-,-,-,-,2,11,-,7,1,29,4,3,5,30,15,7,24,1,7,3,17,135,14,1
1101200005,3,札幌市中央区,大通東５丁目,0,,,94,-,-,-,-,2,1,-,3,1,20,4,2,5,7,6,2,12,-,8,2,19,68,8,1
1101200006,3,札幌市中央区,大通東６丁目,0,,,81,-,-,-,-,1,3,5,5,1,9,3,2,9,4,2,3,14,-,5,5,10,71,1,-
1101200007,3,札幌市中央区,大通東７丁目,0,,,144,1,-,-,-,2,15,2,12,4,21,9,5,3,11,2,3,23,-,10,2,19,114,11,-
1101200008,3,札幌市中央区,大通東８丁目,0,,,231,-,-,-,-,3,8,4,8,10,35,9,8,10,15,9,8,42,-,21,6,35,199,5,2
1101200009,3,札幌市中央区,大通東９丁目,0,,,133,-,-,-,-,5,7,-,15,-,19,1,4,7,11,6,11,21,-,10,7,9,111,11,3
1101200010,3,札幌市中央区,大通東１０丁目,0,,,178,-,-,-,-,7,6,1,15,5,27,6,8,11,16,2,9,32,-,19,6,8,159,10,3
1101200011,3,札幌市中央区,大通東１１丁目,0,,,53,-,-,-,-,3,2,-,6,2,7,3,-,1,4,3,5,6,1,4,-,6,43,4,1
1101200012,3,札幌市中央区,大通東１２丁目,0,,,28,-,-,-,-,1,4,-,-,3,8,-,-,1,-,1,-,2,1,2,1,4,21,3,-
1101200013,3,札幌市中央区,大通東１３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101200014,3,札幌市中央区,大通東１４丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11012100,2,札幌市中央区,大通西,0,,,2900,2,1,-,-,75,127,9,186,37,412,153,114,191,178,110,133,435,6,196,89,447,2264,200,30
1101210001,3,札幌市中央区,大通西１丁目,1,,210002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101210002,3,札幌市中央区,大通西２丁目,2,210001,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1101210003,3,札幌市中央区,大通西３丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101210004,3,札幌市中央区,大通西４丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101210005,3,札幌市中央区,大通西５丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101210006,3,札幌市中央区,大通西６丁目,0,,,49,-,-,-,-,-,1,-,3,2,4,3,-,3,-,1,2,5,-,4,-,21,25,2,-
1101210007,3,札幌市中央区,大通西７丁目,0,,,25,-,-,-,-,-,2,-,4,-,4,2,1,1,1,-,6,1,-,2,-,1,22,2,-
1101210008,3,札幌市中央区,大通西８丁目,0,,,65,-,-,-,-,-,3,-,7,-,8,6,2,4,3,4,2,6,-,4,1,15,47,3,-
1101210009,3,札幌市中央区,大通西９丁目,0,,,70,-,-,-,-,4,2,-,7,-,6,4,5,6,2,4,2,15,-,2,1,10,54,7,1
1101210010,3,札幌市中央区,大通西１０丁目,1,,210011,72,-,-,-,-,1,1,-,2,2,6,5,4,2,5,2,2,13,1,6,1,19,52,1,2
1101210011,3,札幌市中央区,大通西１１丁目,2,210010,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1101210012,3,札幌市中央区,大通西１２丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101210013,3,札幌市中央区,大通西１３丁目,0,,,78,-,-,-,-,2,6,-,6,-,13,2,4,6,4,4,2,6,-,2,2,19,56,5,-
1101210014,3,札幌市中央区,大通西１４丁目,0,,,82,-,-,-,-,3,4,-,6,2,8,3,2,6,7,3,2,20,1,5,1,9,67,7,1
1101210015,3,札幌市中央区,大通西１５丁目,0,,,339,1,-,-,-,12,11,-,22,3,45,13,6,29,27,13,15,55,1,18,15,53,267,22,4
1101210016,3,札幌市中央区,大通西１６丁目,0,,,234,-,-,-,-,10,8,-,13,2,28,9,11,19,19,7,10,32,-,26,4,36,189,19,1
1101210017,3,札幌市中央区,大通西１７丁目,0,,,222,-,-,-,-,4,7,-,10,2,40,7,7,11,23,11,9,35,-,14,5,37,175,11,-
